ISBN,正书名,著作责任者,出版单位,出版时间
978-7-115-33109-0,艾莉头上有只鸟,熊小米(北京)文化传播有限公司著,人民邮电出版社,2013.1
978-7-115-33102-1,大学生心理健康教育,通识教育规划教材编委会编著,人民邮电出版社,2013.11
978-7-115-32140-4,大学计算机基础实践教程,刘红梅，韩保清主编,人民邮电出版社,2013.1
978-7-115-33083-3,软件定义网络,刘诚明等编著,人民邮电出版社,2013.1
978-7-115-32060-5,SolidWorks2013机械设计基础及应用,郭友寒等编著,人民邮电出版社,2013.1
978-7-115-33017-8,管理学基础,田铮，任德成主编,人民邮电出版社,2013.1
978-7-115-32958-5,Maya2014命令完全速查手册,李志豪，李东庆编著,人民邮电出版社,2013.1
978-7-115-33052-9,TCPSockets编程,"(加)斯托里默(Storimer.J.)著",人民邮电出版社,2013.1
978-7-115-32393-4,行摄,创锐设计编著,人民邮电出版社,2013.1
978-7-115-33086-4,深入浅出ExtJS,徐会生编著,人民邮电出版社,2013.1
978-7-115-32631-7,大学计算机应用技术实践教程,王勇，韩永印主编,人民邮电出版社,2013.1
978-7-115-33032-1,汽车是怎样跑起来的,(日)御堀直嗣著,人民邮电出版社,2013.1
978-7-115-31926-5,Web前端开发技术,聂常红主编,人民邮电出版社,2013.1
978-7-115-33009-3,计算机应用基础与实践,戴宇主编,人民邮电出版社,2013.1
978-7-115-31925-8,Web前端开发技术实践指导教程,王刚主编,人民邮电出版社,2013.1
978-7-115-33081-9,识人·用人·带队伍,贾悦著,人民邮电出版社,2013.1
978-7-115-33085-7,jQuery移动开发,"(美)哈德洛克(Hadlock.K.)著",人民邮电出版社,2013.1
